customer_id,customer_name,customer_type,customer_segment,ARR,country,carrier,contract_start_date,account_status
CUST-073,Vantage CX,contact_center,Mid-Market Contact Center,440000,Australia,Alder Telecom,2022-06-08,active
CUST-074,Willow Cloud,contact_center,Mid-Market Contact Center,130000,Canada,Bluepeak Mobile,2022-10-22,active
CUST-075,Zenith Bank,contact_center,Mid-Market Contact Center,330000,Spain,multi-carrier,2022-12-29,active
CUST-076,Northstar Telecom,communications_platform,Enterprise CPaaS,1560000,Australia,multi-carrier,2023-01-23,active
CUST-077,Alder Voice,communications_platform,Enterprise CPaaS,1740000,Australia,Alder Telecom,2023-02-01,active
CUST-078,Bluepeak Connect,communications_platform,Enterprise CPaaS,950000,Ireland,Bluepeak Mobile,2023-02-26,active
CUST-079,Cinder Financial,communications_platform,Enterprise CPaaS,1430000,Canada,multi-carrier,2022-08-25,active
CUST-080,Driftwood Mobile,communications_platform,Enterprise CPaaS,1250000,Canada,Alder Telecom,2023-07-08,active
CUST-081,Everfield CX,communications_platform,Enterprise CPaaS,970000,Netherlands,Bluepeak Mobile,2023-03-30,active
CUST-082,Fairway Cloud,communications_platform,Enterprise CPaaS,1190000,United States,Bluepeak Mobile,2023-12-12,active
CUST-083,Granite Bank,communications_platform,Enterprise CPaaS,1630000,Canada,Alder Telecom,2024-06-29,active
CUST-084,Harbor Telecom,communications_platform,Enterprise CPaaS,1150000,Germany,Bluepeak Mobile,2022-03-18,active
CUST-085,Ironwood Voice,communications_platform,Enterprise CPaaS,1500000,Australia,multi-carrier,2022-01-27,active
CUST-086,Juniper Connect,communications_platform,Enterprise CPaaS,1760000,Canada,Bluepeak Mobile,2023-03-20,active
CUST-087,Keystone Financial,communications_platform,Enterprise CPaaS,1740000,Ireland,Northstar Mobile,2022-12-09,active
CUST-088,Lighthouse Mobile,communications_platform,Enterprise CPaaS,870000,Australia,Bluepeak Mobile,2022-09-03,active
CUST-089,Meadow CX,communications_platform,Growth CPaaS,490000,Australia,Bluepeak Mobile,2023-11-18,active
CUST-090,Nimbus Cloud,communications_platform,Growth CPaaS,440000,Spain,Northstar Mobile,2022-08-29,active
CUST-091,Oakline Bank,communications_platform,Growth CPaaS,190000,Australia,multi-carrier,2024-04-16,active
CUST-092,Pioneer Telecom,communications_platform,Growth CPaaS,450000,United States,Alder Telecom,2024-04-30,active
CUST-093,Quartz Voice,communications_platform,Growth CPaaS,480000,Netherlands,Alder Telecom,2023-10-10,active
CUST-094,Redwood Connect,communications_platform,Growth CPaaS,380000,Australia,Alder Telecom,2023-08-28,active
CUST-095,Summit Financial,communications_platform,Growth CPaaS,480000,Australia,Alder Telecom,2024-08-24,active
CUST-096,Tandem Mobile,communications_platform,Growth CPaaS,230000,Netherlands,Northstar Mobile,2022-09-20,active
CUST-097,Union CX,communications_platform,Growth CPaaS,170000,Australia,multi-carrier,2022-07-13,active
CUST-098,Vantage Cloud,communications_platform,Growth CPaaS,300000,Canada,Bluepeak Mobile,2022-09-24,active
CUST-099,Willow Bank,communications_platform,Growth CPaaS,240000,Spain,Alder Telecom,2022-05-01,active
CUST-100,Zenith Telecom,communications_platform,Growth CPaaS,310000,United States,Northstar Mobile,2023-05-24,active
